Date,Flexibility
2020-02-26 07:00:00,1.0
2020-02-26 07:15:00,1.0
2020-02-26 07:30:00,-1.0
2020-02-26 07:45:00,-1.0
2020-02-26 08:00:00,-1.0
2020-02-26 08:15:00,-1.0
2020-02-26 08:30:00,-1.0
2020-02-26 10:30:00,9.0
2020-02-26 10:45:00,11.0
2020-02-26 11:00:00,13.0
2020-02-26 11:15:00,16.0
2020-02-26 11:30:00,12.0
2020-02-26 11:45:00,13.0
2020-02-26 12:00:00,16.0
2020-02-26 12:15:00,8.0
2020-02-26 12:30:00,10.0
2020-02-26 12:45:00,15.0
2020-02-26 13:00:00,13.0
2020-02-26 13:15:00,13.0
2020-02-26 13:30:00,16.0
2020-02-26 13:45:00,18.0
2020-02-26 14:00:00,18.0
2020-02-26 14:45:00,-1.0
2020-02-26 15:00:00,-1.0
2020-02-26 15:15:00,-1.0
